Event Objective,Objective Status,Topic,# of events this topic is in (from Topic),Discipline / Role (from Topic),Curriculum Event,23-24 Event,Course Name (from Curriculum Event) (from Topic),Event Date
"Discuss the use of calcitonin, calcitriol, Vitamin D, and Parathormone (teriparatide) in treating, calcium/bone homeostasis in particular. (EO-3696)",Active,Bone Therapeutics (TO-1365),1,Pharmacology,M1 BSci Susan Campbell Team Building Circles,M1 BSci Osteopathic Fracture Team Building Circles (Susan Campbell),M1-06 Movement and Mechanics (RMD-564),2024-03-28 13:00
Describe mechanisms of bradycardia. (EO-7197),Active,Bradyarrhythmias (TO-0550),1,Pathophysiology,M1 BSci Ruth Barzcic,M1 BSci Arrhythmia (Ruth Barzcic),M1-03 Vital Fluids (RMD-574),2023-11-16 08:30
"Describe first degree, second degree (types 1 and 2) and third-degree heart block including mechanisms, symptoms, and EKG findings. (EO-2800)",Active,Bradyarrhythmias (TO-0550),1,Pathophysiology,M1 BSci Ruth Barzcic,M1 BSci Arrhythmia (Ruth Barzcic),M1-03 Vital Fluids (RMD-574),2023-11-16 08:30
"Define and provide explanations for: decorticate posture, decerebrate rigidity, and hyperreflexia. (EO-2984)",Active,Brainstem Syndromes: Decerebrate Posturing (TO-0601),1,Neuroscience,M1 BSci Jack Harrison,M1 BSci Vertigo (Jack Harrison),M1-07 Brain Behavior and Cognition (RMD-565),2024-05-24 08:30
Describe the clinical findings associated with Dorsal Midbrain Syndrome and identify common causes of this syndrome. (EO-2985),Active,Brainstem Syndromes: Dorsal Midbrain Syndrome (TO-0602),1,Neuroscience,M1 BSci Scott Prince,M1 BSci Eye Vignettes (Scott Prince),M1-07 Brain Behavior and Cognition (RMD-565),2024-05-21 08:30
List the structures that are involved in ventral pontine lesion that will cause locked-in-syndrome. (EO-2979),Active,Brainstem Syndromes: Locked-in Syndrome (TO-0599),1,Neuroscience,M1 BSci Gil Fernandez,M1 BSci Stroke Team Building Circles (Gil Fernandez),M1-07 Brain Behavior and Cognition (RMD-565),2024-05-17 08:00
Identify the ischemic lesion that causes locked in syndrome. (EO-2978),Active,Brainstem Syndromes: Locked-in Syndrome (TO-0599),1,Neuroscience,M1 BSci Gil Fernandez,M1 BSci Stroke Team Building Circles (Gil Fernandez),M1-07 Brain Behavior and Cognition (RMD-565),2024-05-17 08:00
List the structures that remain intact to allow vertical eye movement to be spared in locked-in-syndrome. (EO-2980),Active,Brainstem Syndromes: Locked-in Syndrome (TO-0599),1,Neuroscience,M1 BSci Gil Fernandez,M1 BSci Stroke Team Building Circles (Gil Fernandez),M1-07 Brain Behavior and Cognition (RMD-565),2024-05-17 08:00
Describe the clinical findings of medial medullary syndrome. (EO-2975),Active,Brainstem Syndromes: Medial Medullary Syndrome (TO-0598),1,Neuroscience,M1 BSci Jack Harrison,M1 BSci Vertigo (Jack Harrison),M1-07 Brain Behavior and Cognition (RMD-565),2024-05-24 08:30
Identify the vascular territory that is commonly involved in medial medullary syndrome. (EO-2977),Active,Brainstem Syndromes: Medial Medullary Syndrome (TO-0598),1,Neuroscience,M1 BSci Jack Harrison,M1 BSci Vertigo (Jack Harrison),M1-07 Brain Behavior and Cognition (RMD-565),2024-05-24 08:30
Identify the neuroanatomy that is involved in medial medullary syndrome. (EO-2976),Active,Brainstem Syndromes: Medial Medullary Syndrome (TO-0598),1,Neuroscience,M1 BSci Jack Harrison,M1 BSci Vertigo (Jack Harrison),M1-07 Brain Behavior and Cognition (RMD-565),2024-05-24 08:30
Describe the clinical finding of Wallenburg syndrome. (EO-2972),Active,Brainstem Syndromes: Wallenburg Syndrome (TO-0597),1,Neuroscience,M1 BSci Jack Harrison,M1 BSci Vertigo (Jack Harrison),M1-07 Brain Behavior and Cognition (RMD-565),2024-05-24 08:30
Identify the underlying neuroanatomy that are involved in this syndrome and where they are located in the brainstem (EO-2973),Active,Brainstem Syndromes: Wallenburg Syndrome (TO-0597),1,Neuroscience,M1 BSci Jack Harrison,M1 BSci Vertigo (Jack Harrison),M1-07 Brain Behavior and Cognition (RMD-565),2024-05-24 08:30
Identify the vascular territory that is involved in Wallenburg syndrome (EO-2974),Active,Brainstem Syndromes: Wallenburg Syndrome (TO-0597),1,Neuroscience,M1 BSci Jack Harrison,M1 BSci Vertigo (Jack Harrison),M1-07 Brain Behavior and Cognition (RMD-565),2024-05-24 08:30
Identify the vascular supply to each level of the brainstem and the effects of an infarct in each of those vessels. (EO-0303),Active,Brainstem: Anatomy and Vasculature Motor & Sensory Nuclei of Cranial Nerves (TO-0044),1,Neuroscience,M1 BSci Jack Harrison,M1 BSci Vertigo (Jack Harrison),M1-07 Brain Behavior and Cognition (RMD-565),2024-05-24 08:30
Differentiate between each level of the brainstem in cross-sectional images. (EO-0297),Active,Brainstem: Anatomy and Vasculature Motor & Sensory Nuclei of Cranial Nerves (TO-0044),1,Neuroscience,M1 BSci Jack Harrison,M1 BSci Vertigo (Jack Harrison),M1-07 Brain Behavior and Cognition (RMD-565),2024-05-24 08:30
Name the fiber types contained within each cranial nerve. (EO-0300),Active,Brainstem: Anatomy and Vasculature Motor & Sensory Nuclei of Cranial Nerves (TO-0044),1,Neuroscience,M1 BSci Jack Harrison,M1 BSci Vertigo (Jack Harrison),M1-07 Brain Behavior and Cognition (RMD-565),2024-05-24 08:30
Identify cranial nerve sensory and motor nuclei in cross-sectional images of the brainstem. (EO-0299),Active,Brainstem: Anatomy and Vasculature Motor & Sensory Nuclei of Cranial Nerves (TO-0044),1,Neuroscience,M1 BSci Jack Harrison,M1 BSci Vertigo (Jack Harrison),M1-07 Brain Behavior and Cognition (RMD-565),2024-05-24 08:30
Associate cranial nerves with their appropriate brainstem levels. (EO-0298),Active,Brainstem: Anatomy and Vasculature Motor & Sensory Nuclei of Cranial Nerves (TO-0044),1,Neuroscience,M1 BSci Jack Harrison,M1 BSci Vertigo (Jack Harrison),M1-07 Brain Behavior and Cognition (RMD-565),2024-05-24 08:30
Describe how a patient would present with a lesion to each cranial nerve or nucleus. (EO-0302),Active,Brainstem: Cranial Nerve Function and Lesions (TO-1375),1,Neuroscience,M1 BSci Jack Harrison,M1 BSci Vertigo (Jack Harrison),M1-07 Brain Behavior and Cognition (RMD-565),2024-05-24 08:30
Identify the structures innervated by each cranial nerve. (EO-0301),Active,Brainstem: Cranial Nerve Function and Lesions (TO-1375),1,Neuroscience,M1 BSci Jack Harrison,M1 BSci Vertigo (Jack Harrison),M1-07 Brain Behavior and Cognition (RMD-565),2024-05-24 08:30
Identify common provider barriers for breaking bad news. (EO-4633),Active,Breaking Bad News (TO-0881),1,Communicator,M2 COMM Breaking Bad News,M2 COMM Breaking Bad News,M2-04 Introduction to Oncology (RMD-577),2024-01-05 13:00
Use advanced communication skills to deliver bad news to a patient. (EO-4634),Active,Breaking Bad News (TO-0881),1,Communicator,M2 COMM Breaking Bad News,M2 COMM Breaking Bad News,M2-04 Introduction to Oncology (RMD-577),2024-01-05 13:00
Engage patient in discussion on end-of-life and palliative care preferences. (EO-4643),Active,Breaking Bad News (TO-0881),1,Communicator,M2 COMM Breaking Bad News,M2 COMM Breaking Bad News,M2-04 Introduction to Oncology (RMD-577),2024-01-05 13:00
List common risk factors for the development of breast cancer. (EO-2450),Active,Breast (TO-0509),1,Pathology,M2 BSci Rhonda Graves and Jules Verne,M2 BSci Aging and Health-Part 2 (Rhonda Graves and Jules Verne),M2-02 Growth Development and the Life Cycle (RMD-567),2023-11-03 08:30
Recognize the different major subtypes of breast cancer. (EO-2452),Active,Breast (TO-0509),1,Pathology,M2 BSci Rhonda Graves and Jules Verne,M2 BSci Aging and Health-Part 2 (Rhonda Graves and Jules Verne),M2-02 Growth Development and the Life Cycle (RMD-567),2023-11-03 08:30
Distinguish the pathogenetic mechanisms of breast cancer. (EO-6758),Active,Breast (TO-0509),1,Pathology,M2 BSci Rhonda Graves and Jules Verne,M2 BSci Aging and Health-Part 2 (Rhonda Graves and Jules Verne),M2-02 Growth Development and the Life Cycle (RMD-567),2023-11-03 08:30
Define the common subtypes and histologic characteristics of DCIS and LCIS. (EO-2451),Active,Breast (TO-0509),1,Pathology,M2 BSci Rhonda Graves and Jules Verne,M2 BSci Aging and Health-Part 2 (Rhonda Graves and Jules Verne),M2-02 Growth Development and the Life Cycle (RMD-567),2023-11-03 08:30
Define the components of fibrocystic changes of the breast and describe the associated relative risk for future development of breast cancer of each of the components. (EO-2446),Active,Breast (TO-0509),1,Pathology,M2 BSci Rhonda Graves and Jules Verne,M2 BSci Aging and Health-Part 2 (Rhonda Graves and Jules Verne),M2-02 Growth Development and the Life Cycle (RMD-567),2023-11-03 08:30
Describe the incidence and overall survival of breast cancer in the U.S. (EO-6757),Active,Breast (TO-0509),1,Pathology,M2 BSci Rhonda Graves and Jules Verne,M2 BSci Aging and Health-Part 2 (Rhonda Graves and Jules Verne),M2-02 Growth Development and the Life Cycle (RMD-567),2023-11-03 08:30
List important prognostic factors in breast cancer. (EO-2453),Active,Breast (TO-0509),1,Pathology,M2 BSci Rhonda Graves and Jules Verne,M2 BSci Aging and Health-Part 2 (Rhonda Graves and Jules Verne),M2-02 Growth Development and the Life Cycle (RMD-567),2023-11-03 08:30
Recognize and describe atypical ductal hyperplasia (ADH) and atypical lobular hyperplasia (ALH). (EO-2448),Active,Breast (TO-0509),1,Pathology,M2 BSci Rhonda Graves and Jules Verne,M2 BSci Aging and Health-Part 2 (Rhonda Graves and Jules Verne),M2-02 Growth Development and the Life Cycle (RMD-567),2023-11-03 08:30
Recognize and describe the pathologic hallmarks of invasive ductal carcinoma of no special type and invasive lobular carcinoma. (EO-6759),Active,Breast (TO-0509),1,Pathology,M2 BSci Rhonda Graves and Jules Verne,M2 BSci Aging and Health-Part 2 (Rhonda Graves and Jules Verne),M2-02 Growth Development and the Life Cycle (RMD-567),2023-11-03 08:30
Describe the gross and histologic characteristics of a fibroadenoma and phyllodes tumor and understand their prognostic significance. (EO-2449),Active,Breast (TO-0509),1,Pathology,M2 BSci Rhonda Graves and Jules Verne,M2 BSci Aging and Health-Part 2 (Rhonda Graves and Jules Verne),M2-02 Growth Development and the Life Cycle (RMD-567),2023-11-03 08:30
Describe the clinical characteristics of male breast cancer. (EO-2455),Active,Breast (TO-0509),1,Pathology,M2 BSci Rhonda Graves and Jules Verne,M2 BSci Aging and Health-Part 2 (Rhonda Graves and Jules Verne),M2-02 Growth Development and the Life Cycle (RMD-567),2023-11-03 08:30
List common normal and abnormal findings of the breast exam. (EO-7547),Active,Breast Exam  (TO-6691),1,Practitioner,,M2 PRAC Physical Exam: Genitourinary Exam-SP Workshop,M2-01 Sexuality and Reproduction (RMD-566),2023-09-05 13:00
Interpret the findings from a breast exam (EO-7549),Active,Breast Exam  (TO-6691),1,Practitioner,,M2 PRAC Physical Exam: Genitourinary Exam-SP Workshop,M2-01 Sexuality and Reproduction (RMD-566),2023-09-05 13:00
List the common terminology used to document normal and abnormal findings in the breast exam. (EO-7550),Active,Breast Exam  (TO-6691),1,Practitioner,,M2 PRAC Physical Exam: Genitourinary Exam-SP Workshop,M2-01 Sexuality and Reproduction (RMD-566),2023-09-05 13:00
Perform a breast exam (EO-7548),Active,Breast Exam  (TO-6691),1,Practitioner,,M2 PRAC Physical Exam: Genitourinary Exam-SP Workshop,M2-01 Sexuality and Reproduction (RMD-566),2023-09-05 13:00
Document a breast exam (EO-7551),Active,Breast Exam  (TO-6691),1,Practitioner,,M2 PRAC Physical Exam: Genitourinary Exam-SP Workshop,M2-01 Sexuality and Reproduction (RMD-566),2023-09-05 13:00
List the components of a breast exam. (EO-7546),Active,Breast Exam  (TO-6691),1,Practitioner,,M2 PRAC Physical Exam: Genitourinary Exam-SP Workshop,M2-01 Sexuality and Reproduction (RMD-566),2023-09-05 13:00
List the components of a breast exam. (EO-7546),Active,Breast Exam (TO-6691),1,Practitioner,M2 PRAC Physical Exam: Intro to Genitourinary Exam,M2 PRAC Physical Exam: Intro to Genitourinary Exam,M2-01 Sexuality and Reproduction (RMD-566),2023-09-05 10:00
List the common terminology used to document normal and abnormal findings in the breast exam. (EO-7550),Active,Breast Exam (TO-6691),1,Practitioner,M2 PRAC Physical Exam: Intro to Genitourinary Exam,M2 PRAC Physical Exam: Intro to Genitourinary Exam,M2-01 Sexuality and Reproduction (RMD-566),2023-09-05 10:00
Define the boundaries and contents of the posterior triangle of the neck. (EO-0132),Active,BREAST; PECTORAL REGION; AND POSTERIOR CERVICAL TRIANGLE (TO-0019),1,Anatomy,M1 ANAT Anatomy Lab: Breast-Pectoral Region-and Posterior Cervical Triangle,M1 ANAT Anatomy Lab: Breast-Pectoral Region-and Posterior Cervical Triangle,M1-06 Movement and Mechanics (RMD-564),2024-03-29 10:00
Identify the vessels; nerves; and muscles associated with the posterior triangle of the neck. (EO-0133),Active,BREAST; PECTORAL REGION; AND POSTERIOR CERVICAL TRIANGLE (TO-0019),1,Anatomy,M1 ANAT Anatomy Lab: Breast-Pectoral Region-and Posterior Cervical Triangle,M1 ANAT Anatomy Lab: Breast-Pectoral Region-and Posterior Cervical Triangle,M1-06 Movement and Mechanics (RMD-564),2024-03-29 10:00
Locate Erb’s point and summarize its clinical significance to anesthesiologists. (EO-0134),Active,BREAST; PECTORAL REGION; AND POSTERIOR CERVICAL TRIANGLE (TO-0019),1,Anatomy,M1 ANAT Anatomy Lab: Breast-Pectoral Region-and Posterior Cervical Triangle,M1 ANAT Anatomy Lab: Breast-Pectoral Region-and Posterior Cervical Triangle,M1-06 Movement and Mechanics (RMD-564),2024-03-29 10:00
Define the position and boundaries of the adult female breast and describe the three structural components of the breast. (EO-0129),Active,BREAST; PECTORAL REGION; AND POSTERIOR CERVICAL TRIANGLE (TO-0019),1,Anatomy,M1 ANAT Anatomy Lab: Breast-Pectoral Region-and Posterior Cervical Triangle,M1 ANAT Anatomy Lab: Breast-Pectoral Region-and Posterior Cervical Triangle,M1-06 Movement and Mechanics (RMD-564),2024-03-29 10:00
Describe the embryologic development of the mammary gland and explain the occasional presence of accessory mammary glands or nipples. (EO-0128),Active,BREAST; PECTORAL REGION; AND POSTERIOR CERVICAL TRIANGLE (TO-0019),1,Anatomy,M1 ANAT Anatomy Lab: Breast-Pectoral Region-and Posterior Cervical Triangle,M1 ANAT Anatomy Lab: Breast-Pectoral Region-and Posterior Cervical Triangle,M1-06 Movement and Mechanics (RMD-564),2024-03-29 10:00
Name and identify the muscles of the pectoral region and describe their attachments; functions; and innervation. (EO-0131),Active,BREAST; PECTORAL REGION; AND POSTERIOR CERVICAL TRIANGLE (TO-0019),1,Anatomy,M1 ANAT Anatomy Lab: Breast-Pectoral Region-and Posterior Cervical Triangle,M1 ANAT Anatomy Lab: Breast-Pectoral Region-and Posterior Cervical Triangle,M1-06 Movement and Mechanics (RMD-564),2024-03-29 10:00
Describe the blood supply and lymphatic drainage of the breast. (EO-0130),Active,BREAST; PECTORAL REGION; AND POSTERIOR CERVICAL TRIANGLE (TO-0019),1,Anatomy,M1 ANAT Anatomy Lab: Breast-Pectoral Region-and Posterior Cervical Triangle,M1 ANAT Anatomy Lab: Breast-Pectoral Region-and Posterior Cervical Triangle,M1-06 Movement and Mechanics (RMD-564),2024-03-29 10:00
"Successfully perform hands on skills: arthocentesis, a-line, airway, lumbar puncture",Active,BRIDGE Adult Skills,1,---,M4 BRI Adult Skills,M4 BRI Adult Skills,M4-03 Clinical Bridge,2024-03-19 00:00
Describe procedures and indications,Active,BRIDGE Adult Skills,1,---,M4 BRI Adult Skills,M4 BRI Adult Skills,M4-03 Clinical Bridge,2024-03-19 00:00
"Practice self-evaluation and reflection on the performance of milestones patient and family centered communication, system navigation for patient centered care care of diverse patients, interprofessional and team communication copy",Active,BRIDGE Art of Adult Medicine,1,Educator,,M4 BRI Adults Art of Medicine Session,M4-03 Clinical Bridge,2024-03-26 00:00
"Practice self-evaluation and reflection on the performance of milestones patient and family centered communication, system navigation for patient centered care care of diverse patients, interprofessional and team communication copy copy",Active,BRIDGE Art of Medicine Session,1,Educator,"M4 BRI Peds Art of Medicine Session,M4 BRI Medicine Art of Medicine,M4 BRI Adults Art of Medicine Session",M4 BRI Medicine Art of Medicine,M4-03 Clinical Bridge,2024-03-23 00:00
"Practice self-evaluation and reflection on the performance of milestones patient and family centered communication, system navigation for patient centered care care of diverse patients, interprofessional and team communication",Active,BRIDGE Art of Pediatric Medicine,1,Educator,,M4 BRI Peds Art of Medicine Session,M4-03 Clinical Bridge,2024-03-23 00:00
Describe verbal de-escalation tactics,Active,BRIDGE Deescalation Intro Session,1,---,M4 BRI Deescalation Intro Session,M4 BRI Deescalation Intro Session,M4-03 Clinical Bridge,2024-03-19 00:00
Perform verbal de-escalation tactics ,Active,BRIDGE Deescalation Session,1,---,M4 BRI Deescalation Session,M4 BRI Deescalation Session,M4-03 Clinical Bridge,2024-03-23 00:00
Discuss the common conditions facing the incarcerated population ,Active,BRIDGE Incarceration Healthcare,1,---,M4 BRI Incarceration Healthcare - Kent,M4 BRI Incarceration Healthcare - Kent,M4-03 Clinical Bridge,2024-03-29 00:00
Recognize a safety event,Active,BRIDGE Patient Safety,1,---,M4 BRI Patient Safety,M4 BRI Patient Safety,M4-03 Clinical Bridge,2024-03-22 00:00
Identify different types of safety events,Active,BRIDGE Patient Safety,1,---,M4 BRI Patient Safety,M4 BRI Patient Safety,M4-03 Clinical Bridge,2024-03-22 00:00
Describe the process of filling out a safety event report,Active,BRIDGE Patient Safety,1,---,M4 BRI Patient Safety,M4 BRI Patient Safety,M4-03 Clinical Bridge,2024-03-22 00:00
Describe indications and contraindications for common procedures in pediatrics,Active,BRIDGE Peds Skill Sessions,1,---,M4 BRI Peds Skills Session,M4 BRI Peds Skills Session,M4-03 Clinical Bridge,2024-03-19 00:00
"Practices performing the following procedures: arterial puncture, bag-valve mask ventilation, intra-osseus placement, IV insertion, lumbar puncture, neonatal and pediatric intubation, UAC/UVC placement",Active,BRIDGE Peds Skill Sessions,1,---,M4 BRI Peds Skills Session,M4 BRI Peds Skills Session,M4-03 Clinical Bridge,2024-03-19 00:00
Apply basic life support skills to emergency patient care scenarios,Active,BRIDGE Sim Session,1,---,M4 BRI Sim Session,M4 BRI Sim Session,M4-03 Clinical Bridge,2024-03-05 00:00
Function as a team leader with clear and effective communication in a patient care scenario ,Active,BRIDGE Sim Session,1,---,M4 BRI Sim Session,M4 BRI Sim Session,M4-03 Clinical Bridge,2024-03-05 00:00
Work together as a team with defined roles in various patient care scenarios,Active,BRIDGE Sim Session,1,---,M4 BRI Sim Session,M4 BRI Sim Session,M4-03 Clinical Bridge,2024-03-05 00:00
Communicate effectively and with compassion in difficult scenarios with patients and consultants,Active,BRIDGE SP Session,1,---,M4 BRI SP Session,M4 BRI SP Session,M4-03 Clinical Bridge,2024-03-05 00:00
Utilize a communication toolkit for managing emotions and expectations in difficult scenarios with patients and consultants ,Active,BRIDGE SP Session,1,---,M4 BRI SP Session,M4 BRI SP Session,M4-03 Clinical Bridge,2024-03-05 00:00
Describe and recognize the pathological changes in the lung associated with cystic fibrosis. (EO-5872),Active,Bronchiectasis and Cystic Fibrosis (TO-1274),1,Pathology,M1 BSci Zadie Johnson,M1 BSci Cystic Fibrosis (Zadie Johnson),M1-04 Vital Gases (RMD-575),2024-01-11 08:30
Compare the mutational spectra in cystic fibrosis and integrate the genotype with phenotypic expression of the disease. (EO-2138),Active,Bronchiectasis and Cystic Fibrosis (TO-1274),1,Pathology,M1 BSci Zadie Johnson,M1 BSci Cystic Fibrosis (Zadie Johnson),M1-04 Vital Gases (RMD-575),2024-01-11 08:30
Describe the molecular and cellular changes in Kartagener syndrome and other primary ciliary disorders. (EO-2139),Active,Bronchiectasis and Cystic Fibrosis (TO-1274),1,Pathology,M1 BSci Zadie Johnson,M1 BSci Cystic Fibrosis (Zadie Johnson),M1-04 Vital Gases (RMD-575),2024-01-11 08:30
Recognize and describe the pathological finding in bronchiectasis. (EO-5874),Active,Bronchiectasis and Cystic Fibrosis (TO-1274),1,Pathology,M1 BSci Zadie Johnson,M1 BSci Cystic Fibrosis (Zadie Johnson),M1-04 Vital Gases (RMD-575),2024-01-11 08:30
Describe primary ciliary dyskinesia and Kartagener syndrome and relate the molecular defect in primary ciliary dyskinesia to the electron microscopic appearance of defective cilia and ciliary dysfunction. (EO-5873),Active,Bronchiectasis and Cystic Fibrosis (TO-1274),1,Pathology,M1 BSci Zadie Johnson,M1 BSci Cystic Fibrosis (Zadie Johnson),M1-04 Vital Gases (RMD-575),2024-01-11 08:30
Integrate the molecular and cellular changes in cystic fibrosis to the pathophysiologic and clinical features of cystic fibrosis. (EO-2137),Active,Bronchiectasis and Cystic Fibrosis (TO-1274),1,Pathology,M1 BSci Zadie Johnson,M1 BSci Cystic Fibrosis (Zadie Johnson),M1-04 Vital Gases (RMD-575),2024-01-11 08:30
"Integrate the morphologic changes in bronchiectasis to the microbiologic, pathophysiologic and clinical features of bronchiectasis. (EO-2135)",Active,Bronchiectasis and Cystic Fibrosis (TO-1274),1,Pathology,M1 BSci Zadie Johnson,M1 BSci Cystic Fibrosis (Zadie Johnson),M1-04 Vital Gases (RMD-575),2024-01-11 08:30
List the various diseases that can result in bronchiectasis. (EO-2134),Active,Bronchiectasis and Cystic Fibrosis (TO-1274),1,Pathology,M1 BSci Zadie Johnson,M1 BSci Cystic Fibrosis (Zadie Johnson),M1-04 Vital Gases (RMD-575),2024-01-11 08:30
Describe the molecular and cellular changes in cystic fibrosis. (EO-2136),Active,Bronchiectasis and Cystic Fibrosis (TO-1274),1,Pathology,M1 BSci Zadie Johnson,M1 BSci Cystic Fibrosis (Zadie Johnson),M1-04 Vital Gases (RMD-575),2024-01-11 08:30
Recognize and describe the pathologic hallmarks of bronchiectasis. (EO-2133),Active,Bronchiectasis and Cystic Fibrosis (TO-1274),1,Pathology,M1 BSci Zadie Johnson,M1 BSci Cystic Fibrosis (Zadie Johnson),M1-04 Vital Gases (RMD-575),2024-01-11 08:30
"Define the mechanism of action and side effects of the following drug classes used to treat asthma: Immunosuppressants/Targeted Therapies: Omalizumab, Reslizumab. (EO-3407)",Active,Bronchodilators and Asthma (TO-0684),1,Pharmacology,M1 BSci Nicole McNeal,M1 BSci Asthma (Nicole McNeal),M1-04 Vital Gases (RMD-575),2024-01-08 08:30
Summarize unique pharmacokinetic properties of the inhaled drugs compared to orally administered drugs. (EO-3410),Active,Bronchodilators and Asthma (TO-0684),1,Pharmacology,M1 BSci Nicole McNeal,M1 BSci Asthma (Nicole McNeal),M1-04 Vital Gases (RMD-575),2024-01-08 08:30
"Define the mechanism of action and side effects of the following drug classes used to treat asthma: Corticosteroids: Prednisone, Methylprednisolone, etc. (EO-3406)",Active,Bronchodilators and Asthma (TO-0684),1,Pharmacology,M1 BSci Nicole McNeal,M1 BSci Asthma (Nicole McNeal),M1-04 Vital Gases (RMD-575),2024-01-08 08:30
Define the mechanism of action and side effects of the following drug classes used to treat asthma: 5-lipoxygenase inhibitors: Zileuton. (EO-3405),Active,Bronchodilators and Asthma (TO-0684),1,Pharmacology,M1 BSci Nicole McNeal,M1 BSci Asthma (Nicole McNeal),M1-04 Vital Gases (RMD-575),2024-01-08 08:30
Define the mechanism of action and side effects of the following drug classes used to treat asthma: Methylxanthines: Theophylline. (EO-3402),Active,Bronchodilators and Asthma (TO-0684),1,Pharmacology,M1 BSci Nicole McNeal,M1 BSci Asthma (Nicole McNeal),M1-04 Vital Gases (RMD-575),2024-01-08 08:30
Describe how oral administered agents have their effect on lungs? (EO-3411),Active,Bronchodilators and Asthma (TO-0684),1,Pharmacology,M1 BSci Nicole McNeal,M1 BSci Asthma (Nicole McNeal),M1-04 Vital Gases (RMD-575),2024-01-08 08:30
Define what the therapeutic index (TI) and why does theophylline have a small/narrow TI? (EO-3409),Active,Bronchodilators and Asthma (TO-0684),1,Pharmacology,M1 BSci Nicole McNeal,M1 BSci Asthma (Nicole McNeal),M1-04 Vital Gases (RMD-575),2024-01-08 08:30
"Define the mechanism of action and side effects of the following drug classes used to treat asthma: Leukotriene inhibitors: Montelukast, Zafirlukast. (EO-3404)",Active,Bronchodilators and Asthma (TO-0684),1,Pharmacology,M1 BSci Nicole McNeal,M1 BSci Asthma (Nicole McNeal),M1-04 Vital Gases (RMD-575),2024-01-08 08:30
Identify which agents are administered orally and which agents are administered as inhalants. (EO-3408),Active,Bronchodilators and Asthma (TO-0684),1,Pharmacology,M1 BSci Nicole McNeal,M1 BSci Asthma (Nicole McNeal),M1-04 Vital Gases (RMD-575),2024-01-08 08:30
Define the mechanism of action and side effects of the following drug classes used to treat asthma: Mast cell stabilizer: Cromolyn Na. (EO-3403),Active,Bronchodilators and Asthma (TO-0684),1,Pharmacology,M1 BSci Nicole McNeal,M1 BSci Asthma (Nicole McNeal),M1-04 Vital Gases (RMD-575),2024-01-08 08:30
Describe the mechanism of action of PDE-4 inhibitors in the context of COPD. (EO-5924),Active,Bronchodilators for COPD (TO-1291),1,Pharmacology,M1 BSci Norman Brenner,M1 BSci COPD (Norman Brenner),M1-04 Vital Gases (RMD-575),2024-01-22 13:00
Explain how the macrolide azithromycin will target the pathophysiology of COPD. (EO-5925),Active,Bronchodilators for COPD (TO-1291),1,Pharmacology,M1 BSci Norman Brenner,M1 BSci COPD (Norman Brenner),M1-04 Vital Gases (RMD-575),2024-01-22 13:00
Apply the Henderson-Hasselbalch equation to calculate the value of unknown components in buffer systems. (EO-4382),Active,Buffering Response to an Acid-Base Imbalance (TO-0831),1,Physiology,M1 BSci Multiple Vignettes RMD-575,M1 BSci Acid Base (Multiple Vignettes),M1-04 Vital Gases (RMD-575),2024-01-18 08:30
Demonstrate trajectory points on a Davenport nomogram that would result from the accumulation or loss of excess HNC. Identify the buffers involved and to trace the pathway of compensation that would follow. (EO-4385),Active,Buffering Response to an Acid-Base Imbalance (TO-0831),1,Physiology,M1 BSci Multiple Vignettes RMD-575,M1 BSci Acid Base (Multiple Vignettes),M1-04 Vital Gases (RMD-575),2024-01-18 08:30
Demonstrate on a Davenport nomogram the trajectory that would result from the accumulation or loss of CO2. Identify the buffers involved and demonstrate the compensation trajectory that would follow. (EO-7404),Active,Buffering Response to an Acid-Base Imbalance (TO-0831),1,Physiology,M1 BSci Multiple Vignettes RMD-575,M1 BSci Acid Base (Multiple Vignettes),M1-04 Vital Gases (RMD-575),2024-01-18 08:30
Demonstrate on a Davenport nomogram the trajectory that would result from the accumulation or loss of CO. (EO-4384),Active,Buffering Response to an Acid-Base Imbalance (TO-0831),1,Physiology,M1 BSci Multiple Vignettes RMD-575,M1 BSci Acid Base (Multiple Vignettes),M1-04 Vital Gases (RMD-575),2024-01-18 08:30
Demonstrate trajectory points on a Davenport nomogram that would result from the accumulation or loss of excess HNC. (EO-7405),Active,Buffering Response to an Acid-Base Imbalance (TO-0831),1,Physiology,M1 BSci Multiple Vignettes RMD-575,M1 BSci Acid Base (Multiple Vignettes),M1-04 Vital Gases (RMD-575),2024-01-18 08:30
Identify points on a Davenport nomogram that represents the acid/base status of a normal individual and individuals with acidosis and alkalosis. (EO-7403),Active,Buffering Response to an Acid-Base Imbalance (TO-0831),1,Physiology,M1 BSci Multiple Vignettes RMD-575,M1 BSci Acid Base (Multiple Vignettes),M1-04 Vital Gases (RMD-575),2024-01-18 08:30
Identify points on a Davenport nomogram that represents the acid-base status of a normal individual and individuals with acidosis and alkalosis. (EO-4383),Active,Buffering Response to an Acid-Base Imbalance (TO-0831),1,Physiology,M1 BSci Multiple Vignettes RMD-575,M1 BSci Acid Base (Multiple Vignettes),M1-04 Vital Gases (RMD-575),2024-01-18 08:30
